antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"Country_Indonesia, Corruption_Category_High_Corruption, Policy_Category_Weak_Policy",Tree_Cover_Loss_Category_High_Tree_Cover_Loss,0.17,0.34,0.1,0.5882352941176471,1.7301038062283736,1.0,0.042199999999999994,1.6028571428571428,0.508433734939759,0.24390243902439024,0.376114081996435,0.4411764705882353
"Country_Indonesia, Policy_Category_Weak_Policy",Tree_Cover_Loss_Category_High_Tree_Cover_Loss,0.19,0.34,0.11,0.5789473684210527,1.7027863777089782,1.0,0.045399999999999996,1.5675,0.5095398428731761,0.26190476190476186,0.3620414673046252,0.45123839009287925
"Country_Indonesia, Policy_Category_Weak_Policy","Corruption_Category_High_Corruption, Tree_Cover_Loss_Category_High_Tree_Cover_Loss",0.19,0.32,0.1,0.5263157894736842,1.644736842105263,1.0,0.039200000000000006,1.4355555555555553,0.4839506172839506,0.24390243902439024,0.3034055727554179,0.4194078947368421
"Policy_Category_Weak_Policy, Illegal_Lumbering_Category_Medium_Illegal_Lumbering","Corruption_Category_High_Corruption, Tree_Cover_Loss_Category_High_Tree_Cover_Loss",0.22,0.32,0.11,0.5,1.5625,1.0,0.039599999999999996,1.3599999999999999,0.4615384615384615,0.25581395348837205,0.2647058823529412,0.421875
"Country_Indonesia, Corruption_Category_High_Corruption",Tree_Cover_Loss_Category_High_Tree_Cover_Loss,0.21,0.34,0.11,0.5238095238095238,1.5406162464985995,1.0,0.038599999999999995,1.386,0.44418872266973525,0.24999999999999997,0.2784992784992785,0.42366946778711484
Country_Indonesia,Tree_Cover_Loss_Category_High_Tree_Cover_Loss,0.23,0.34,0.12,0.5217391304347826,1.5345268542199486,1.0,0.04179999999999999,1.38,0.4523809523809523,0.2666666666666666,0.2753623188405797,0.4373401534526854
"Rainfall_Category_Low_Rainfall, Policy_Category_Weak_Policy",Tree_Cover_Loss_Category_High_Tree_Cover_Loss,0.24,0.34,0.12,0.5,1.4705882352941175,1.0,0.03839999999999999,1.3199999999999998,0.42105263157894723,0.26086956521739124,0.2424242424242424,0.4264705882352941
"Illegal_Lumbering_Category_Medium_Illegal_Lumbering, Policy_Category_Weak_Policy",Tree_Cover_Loss_Category_High_Tree_Cover_Loss,0.22,0.34,0.11,0.5,1.4705882352941175,1.0,0.035199999999999995,1.3199999999999998,0.4102564102564102,0.2444444444444444,0.2424242424242424,0.4117647058823529
"Policy_Category_Weak_Policy, Corruption_Category_High_Corruption, Illegal_Lumbering_Category_Medium_Illegal_Lumbering",Tree_Cover_Loss_Category_High_Tree_Cover_Loss,0.22,0.34,0.11,0.5,1.4705882352941175,1.0,0.035199999999999995,1.3199999999999998,0.4102564102564102,0.2444444444444444,0.2424242424242424,0.4117647058823529
